Name,CNPJ,Portfolio Manager,Last_Assets_date
BNP PARIBAS YIELD CLASSIQUE FI MULTIMERCADO LP,05.871.539/0001-30,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNY MELLON ARX CASH FI RENDA FIXA CURTO PRAZO,03.879.385/0001-05,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX FI RENDA FIXA REFERENCIADO DI,07.161.378/0001-16,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX II FI RENDA FIXA REFERENCIADO DI,08.986.975/0001-42,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX III FI RENDA FIXA REFERENCIADO DI,08.986.970/0001-10,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX IV FI RENDA FIXA REFERENCIADO DI,08.986.968/0001-40,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ FI RENDA FIXA REFERENCIADO DI,17.898.543/0001-70,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ II FI RENDA FIXA REFERENCIADO DI,18.416.618/0001-00,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ III FI RENDA FIXA REFERENCIADO DI,18.416.553/0001-95,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ IV FI RENDA FIXA REFERENCIADO DI,18.418.812/0001-17,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ IX FI RENDA FIXA REFERENCIADO DI,18.418.915/0001-87,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ V FI RENDA FIXA REFERENCIADO DI,18.418.851/0001-14,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ VI FI RENDA FIXA REFERENCIADO DI,18.418.825/0001-96,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ VII FI RENDA FIXA REFERENCIADO DI,18.428.603/0001-54,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ VIII FI RENDA FIXA REFERENCIADO DI,18.418.874/0001-29,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX LIQUIDEZ X FI RENDA FIXA REFERENCIADO DI,18.418.894/0001-08,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX OVER FI RENDA FIXA CURTO PRAZO,17.906.107/0001-04,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON ARX V FI RENDA FIXA REFERENCIADO DI,08.986.966/0001-51,Roberto David Benisti,2019-02-01 00:00:00
BNY MELLON GÁVEA MACRO FIC MULTIMERCADO,17.867.221/0001-64,Igor de Castro Lima,2019-01-31 00:00:00
BOEING FIC MULTIMERCADO,24.193.695/0001-33,Rogério Rodrigues Estevinha do Amaral Xavier,2019-01-31 00:00:00
BONSUCESSO DEBÊNTURES INCENTIVADAS DEBÊNTURES DE INFRAESTRUTURA FI MULTIMERCADO CRÉDITO PRIVADO,23.186.354/0001-78,Leandro Cyrino Saliba,2019-01-31 00:00:00
BOZANO FUNDAMENTAL FI AÇÕES,05.578.898/0001-01,Bernardo Teixeira Dubeux,2019-01-31 00:00:00
BOZANO QUANT FI MULTIMERCADO,12.475.061/0001-94,Antonio Cardoso Correia,2019-01-31 00:00:00
BRADESCO ABSOLUTO FI MULTIMERCADO,07.667.533/0001-70,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO ALOCAÇÃO ARROJADA FIC MULTIMERCADO,13.911.703/0001-13,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO ALOCAÇÃO DINÂMICA FIC MULTIMERCADO,13.902.266/0001-71,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO ALOCAÇÃO MODERADA FIC MULTIMERCADO,01.606.543/0001-10,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO BA VALE FI AÇÕES,04.884.567/0001-29,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO BOND FI RENDA FIXA,03.894.320/0001-20,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO BRILHANTE FIC RENDA FIXA SIMPLES,04.237.578/0001-17,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO CIELO FI AÇÕES,10.590.125/0001-72,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO CORPORATE FEDERAL FIC RENDA FIXA REFERENCIADO DI,09.564.069/0001-12,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO DIVIDENDOS FI AÇÕES,06.916.384/0001-73,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO DIVIDENDOS FIC AÇÕES,15.714.222/0001-43,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO DÓLAR FI CAMBIAL,02.150.305/0001-05,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO DÓLAR FIC CAMBIAL,01.171.956/0001-19,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO DÓLAR SPECIAL FIC CAMBIAL,04.244.149/0001-77,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO DÓLAR TOP FI CAMBIAL,04.875.166/0001-02,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO DYNAMIC FI MULTIMERCADO,01.549.381/0001-25,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO EMPRESAS H PERFORMANCE 20 FI RENDA FIXA CRÉDITO PRIVADO LP,11.555.338/0001-26,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO EQUITIES FI AÇÕES,01.691.622/0001-76,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO FEDERAL FIC RENDA FIXA REFERENCIADO DI,00.824.198/0001-28,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO FEDERAL PLUS FIC RENDA FIXA REFERENCIADO DI,02.567.996/0001-47,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO FI AÇÕES,10.601.479/0001-75,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO FIC AÇÕES BDR NÍVEL I,13.401.224/0001-57,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO FIC RENDA FIXA CURTO PRAZO,06.190.263/0001-97,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO FI RENDA FIXA DÍVIDA EXTERNA,74.326.471/0001-20,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO GOLDEN PROFIT DINÂMICO FIC MULTIMERCADO,01.606.544/0001-64,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO GOVERNANÇA CORPORATIVA FIC AÇÕES,07.667.341/0001-64,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H 1.000 FIC RENDA FIXA LP,06.127.871/0001-57,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H 1.000 FIC RENDA FIXA REFERENCIADO DI LP,05.635.774/0001-02,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H 15.000 FIC RENDA FIXA REFERENCIADO DI LP,03.805.990/0001-23,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H 30.000 FIC RENDA FIXA REFERENCIADO DI LP,04.520.220/0001-05,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H 50 FIC RENDA FIXA REFERENCIADO DI LP,00.885.760/0001-23,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H ACUMULAÇÃO FIC AÇÕES,77.054.658/0001-00,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H ÁGATA FIC RENDA FIXA REFERENCIADO DI LP,00.306.278/0001-91,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H ÂMBAR FIC RENDA FIXA REFERENCIADO DI LP,18.820.189/0001-24,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H AQUAMARINE FIC AÇÕES,08.915.198/0001-45,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H AQUAMARINE FIC MULTIMERCADO,03.583.239/0001-20,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO H ATIVO FI RENDA FIXA CRÉDITO PRIVADO LP,01.562.582/0001-62,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H BOLSA AMERICANA FI MULTIMERCADO,18.959.094/0001-96,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO H CLASSIC FIC RENDA FIXA REFERENCIADO DI LP,08.035.673/0001-99,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H DIVIDENDOS FI AÇÕES,02.138.442/0001-24,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H DÓLAR FI CAMBIAL LP,02.294.024/0001-26,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H DÓLAR TOP FIC CAMBIAL LP,18.810.634/0001-75,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H EXECUTIVO FI RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LP,00.322.699/0001-06,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H FIC RENDA FIXA CURTO PRAZO,04.823.412/0001-82,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H FIC RENDA FIXA REFERENCIADO DI LP,18.810.806/0001-00,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H FI RENDA FIXA CURTO PRAZO,05.959.219/0001-36,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H FI RENDA FIXA REFERENCIADO DI LP,00.975.480/0001-06,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H GLOBAL FIC MULTIMERCADO,18.810.900/0001-60,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO H IBOVESPA FI AÇÕES,42.469.023/0001-90,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H IMA-B 5 ATIVO FIC RENDA FIXA CRÉDITO PRIVADO LP,15.226.345/0001-35,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H INFLAÇÃO 15.000 FIC RENDA FIXA LP,15.259.423/0001-06,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO HIPERFUNDO FIC RENDA FIXA REFERENCIADO DI,03.766.575/0001-08,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H NOVO EXECUTIVO FIC RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO,12.092.501/0001-24,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H OPORTUNIDADE II FIC MULTIMERCADO,21.287.393/0001-36,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO H OVER FIC RENDA FIXA CURTO PRAZO,00.809.773/0001-13,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H PERFORMANCE SRI 20 FI RENDA FIXA CRÉDITO PRIVADO,12.088.861/0001-52,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H PETROBRAS FI AÇÕES,03.922.006/0001-04,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H PIBB IBRX-50 FI AÇÕES,07.364.744/0001-34,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H PLUS FIC RENDA FIXA LP,01.114.310/0001-08,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H PREÇOS FI RENDA FIXA LP,09.522.470/0001-90,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H SMALL CAPS FI AÇÕES,07.986.196/0001-84,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H SMALL CAPS FIC AÇÕES,08.154.725/0001-46,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H SRI FI AÇÕES,10.638.510/0001-42,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H TIPO FIC RENDA FIXA CRÉDITO PRIVADO LP,00.280.302/0001-60,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H TÍTULOS PÚBLICOS FI RENDA FIXA REFERENCIADO DI LP,00.885.762/0001-12,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO H TOP FI RENDA FIXA LP,08.776.308/0001-35,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H TOTAL FIC RENDA FIXA LP,20.628.586/0001-40,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO H VALE DO RIO DOCE FI AÇÕES,04.892.107/0001-42,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO H VALUATION IBOVESPA FI AÇÕES,11.675.309/0001-06,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO IBOVESPA ATIVO FIC AÇÕES,02.171.479/0001-54,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO IBOVESPA PLUS FI AÇÕES,03.394.711/0001-86,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO IMA-B FIC RENDA FIXA,13.400.050/0001-08,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO INDEXADO IBOVESPA FIC AÇÕES,96.498.985/0001-04,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO INFINITY FIC RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO,08.244.542/0001-11,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO LIQUIDEZ ÁGORA FIC RENDA FIXA REFERENCIADO DI,07.287.126/0001-38,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO LONG SHORT FI MULTIMERCADO,07.187.565/0001-79,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO MACRO FIC MULTIMERCADO,12.085.947/0001-21,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO MACRO FIC RENDA FIXA,01.606.545/0001-09,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO MAIS FIC MULTIMERCADO,01.757.217/0001-03,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO MARTE FIC RENDA FIXA,02.567.997/0001-91,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO MERCÚRIO FIC RENDA FIXA,01.606.546/0001-53,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO MULTIESTRATÉGIA FIC MULTIMERCADO,07.192.386/0001-20,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO MULTI-ÍNDICES FIC RENDA FIXA LP,05.084.445/0001-10,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO MULTI SETORIAL FI AÇÕES,96.498.654/0001-66,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO NET FIC RENDA FIXA,14.104.082/0001-29,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO NET FIC RENDA FIXA REFERENCIADO DI,14.104.062/0001-58,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO ÔNIX FIC RENDA FIXA SIMPLES,07.667.259/0001-30,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PERFORMANCE 22 FIC RENDA FIXA CRÉDITO PRIVADO LP,20.216.336/0001-01,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO PETROBRAS 2010 FI AÇÕES,11.504.894/0001-73,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PETROBRAS FI AÇÕES,03.916.081/0001-62,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PLATINUM FIC RENDA FIXA REFERENCIADO DI,04.237.583/0001-20,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PREFIXADO FIC RENDA FIXA LP,07.364.099/0001-50,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO PRIME ACTIVE FIC AÇÕES,54.069.422/0001-42,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME DIVIDENDOS FIC AÇÕES,06.916.397/0001-42,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME DÓLAR FIC CAMBIAL,05.222.509/0001-00,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO PRIME DURATION FIC RENDA FIXA,08.258.431/0001-64,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO PRIME FIC MULTIMERCADO,05.222.536/0001-75,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO PRIME FIC RENDA FIXA,05.222.547/0001-55,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME FIC RENDA FIXA CRÉDITO PRIVADO,12.412.610/0001-81,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO PRIME FIC RENDA FIXA CURTO PRAZO,05.983.660/0001-53,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME FIC RENDA FIXA REFERENCIADO DI,05.222.510/0001-27,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME H FIC RENDA FIXA LP,03.805.966/0001-94,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO PRIME H PERFORMANCE 20 FIC RENDA FIXA CRÉDITO PRIVADO LP,12.092.694/0001-13,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO PRIME H PLUS FIC RENDA FIXA REFERENCIADO DI LP,04.088.561/0001-45,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME IBRX 50 FIC AÇÕES,07.667.213/0001-10,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME INDEX FIC AÇÕES,27.865.070/0001-69,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME ÍNDICE DE SUSTENTABILIDADE EMPRESARIAL FIC AÇÕES,07.667.274/0001-88,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME MIX FIC MULTIMERCADO,08.244.560/0001-01,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO PRIME MULTI ALLOCATION FIC MULTIMERCADO,06.190.196/0001-00,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO PRIME MULTIGESTORES FIC MULTIMERCADO,07.667.620/0001-28,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO PRIME MULTI-ÍNDICES FIC RENDA FIXA LP,05.222.533/0001-31,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO PRIME NET CRISTAL FIC MULTIMERCADO,07.667.299/0001-81,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO PRIME NET FIC RENDA FIXA,14.104.126/0001-10,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME NET FIC RENDA FIXA REFERENCIADO DI,14.104.139/0001-90,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME PLUS FIC RENDA FIXA,05.222.545/0001-66,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME PLUS FIC RENDA FIXA REFERENCIADO DI,05.222.538/0001-64,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME SELEÇÃO FIC AÇÕES,08.674.801/0001-44,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME SMALL CAP FIC AÇÕES,02.763.602/0001-26,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME SML FIC AÇÕES,08.244.575/0001-61,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME SML PLUS FIC AÇÕES,12.440.748/0001-94,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRIME SPECIAL FIC RENDA FIXA,05.983.558/0001-58,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIME SPECIAL FIC RENDA FIXA REFERENCIADO DI,05.983.569/0001-38,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO PRIVATE ALAVANCADO IBOVESPA FI AÇÕES,00.463.569/0001-93,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO PRODUZIR BAHIA III FIC RENDA FIXA REFERENCIADO DI,07.667.250/0001-29,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO S&P 500 MAIS FI MULTIMERCADO,18.079.540/0001-78,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO SAFIRA FIC RENDA FIXA REFERENCIADO DI,04.237.569/0001-26,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO SATURNO FIC RENDA FIXA,01.197.545/0001-00,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO SELEÇÃO ESTRATÉGICA FI MULTIMERCADO,09.241.809/0001-80,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO SELECTION FI AÇÕES,03.660.879/0001-96,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO SKY FI RENDA FIXA REFERENCIADO DI,04.831.907/0001-53,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO SMALL CAP PLUS FI AÇÕES,06.988.623/0001-09,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO SML FIC AÇÕES,08.246.279/0001-08,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO SPECIAL FIC RENDA FIXA REFERENCIADO DI,60.906.179/0001-72,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO SUPER AÇÃO FI AÇÕES,71.739.445/0001-36,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO TARGET I FI RENDA FIXA,02.335.944/0001-45,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO TEAM FI MULTIMERCADO,03.553.574/0001-85,André Nogueira Fontenele,2019-01-31 00:00:00
BRADESCO TÍTULOS DO TESOURO FIC RENDA FIXA,13.401.188/0001-21,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRADESCO TOPÁZIO FIC RENDA FIXA REFERENCIADO DI,05.983.641/0001-27,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO VALE FI AÇÕES,04.882.617/0001-39,Luis Guedes Ferreira Costa,2019-01-31 00:00:00
BRADESCO VÊNUS FIC RENDA FIXA,00.793.947/0001-05,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO VERSÁTIL FIC RENDA FIXA CURTO PRAZO,01.960.341/0001-71,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BRADESCO YIELD FI RENDA FIXA LP,03.054.724/0001-06,Ricardo Pereira de Almeida,2019-01-31 00:00:00
BRASIL CAPITAL 30 FIC AÇÕES,14.866.273/0001-28,André Carvalhaes Ribeiro,2019-01-31 00:00:00
BRASIL PLURAL BANESE EXPERT FI RENDA FIXA REFERENCIADO DI,00.830.599/0001-90,Rafael Zlot,2019-01-31 00:00:00
BRASIL PLURAL CRÉDITO CORPORATIVO II FIC RENDA FIXA CRÉDITO PRIVADO LP,18.316.558/0001-46,Rafael Zlot,2019-01-31 00:00:00
BRASIL PLURAL DEBÊNTURES INCENTIVADAS 45 FIC MULTIMERCADO CRÉDITO PRIVADO,24.623.412/0001-46,Rafael Zlot,2019-01-31 00:00:00
BRASIL PLURAL HIGH YIELD FI RENDA FIXA CRÉDITO PRIVADO,15.350.679/0001-16,Rafael Zlot,2019-02-01 00:00:00
BRASIL PLURAL YIELD FI RENDA FIXA REFERENCIADO DI,11.616.354/0001-81,Rafael Zlot,2019-02-01 00:00:00
BRB 5 MIL FI MULTIMERCADO LP,01.978.445/0001-03,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB AÇÕES 500 FIC AÇÕES,31.937.303/0001-69,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB DI 100 MIL FIC RENDA FIXA LP,19.324.345/0001-29,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB DI 1 MILHÃO FIC RENDA FIXA LP,15.786.690/0001-23,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB DI 25 MIL FIC RENDA FIXA LP,00.832.587/0001-03,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB DI 500 FIC RENDA FIXA LP,05.086.234/0001-17,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB IMA-B FIC RENDA FIXA LP,10.824.344/0001-79,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB LIQUIDEZ FI RENDA FIXA,00.832.588/0001-40,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB MAIS FI RENDA FIXA,05.554.339/0001-53,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB PETROVALE FI AÇÕES,07.841.371/0001-45,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB PÚBLICO 5 MIL FIC RENDA FIXA LP,07.351.138/0001-84,Andréa Moreira Lopes,2019-01-31 00:00:00
BRB PÚBLICO FIC RENDA FIXA LP,10.859.917/0001-08,Andréa Moreira Lopes,2019-01-31 00:00:00
BRESSER HEDGE FI MULTIMERCADO,05.097.427/0001-73,Rodrigo Motta Bresser Pereira,2019-01-31 00:00:00
BRESSER HEDGE PLUS FI MULTIMERCADO,08.739.850/0001-18,Rodrigo Motta Bresser Pereira,2019-01-31 00:00:00
BRZ FI RENDA FIXA CRÉDITO PRIVADO,15.821.235/0001-11,Ricardo Propheta Marques,2019-02-01 00:00:00
BRZ SMALL CAP FI AÇÕES I,10.765.194/0001-70,Ricardo Propheta Marques,2019-01-31 00:00:00
BS2 ADVISOR I FIC MULTIMERCADO,22.177.252/0001-23,Leandro Cyrino Saliba,2019-01-31 00:00:00
BTGP ACCESS ADAM MACRO FIC MULTIMERCADO,23.695.876/0001-03,Rafael de Almeida Mazzer,2019-01-31 00:00:00
BTGP ACCESS GÁVEA MACRO FIC MULTIMERCADO,17.816.013/0001-36,Rafael de Almeida Mazzer,2019-01-31 00:00:00
BTGP ACCESS KAPITALO KAPPA FIC MULTIMERCADO,17.429.959/0001-40,Rafael de Almeida Mazzer,2019-01-31 00:00:00
BTGP ACCESS MAUÁ MACRO FIC MULTIMERCADO I,26.614.346/0001-73,Rafael de Almeida Mazzer,2019-01-31 00:00:00
BTG PACTUAL ABSOLUTO INSTITUCIONAL FIC AÇÕES,11.977.794/0001-64,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
BTG PACTUAL ACCESS HEDGE PLUS FIC MULTIMERCADO,17.365.209/0001-51,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
BTG PACTUAL ANDRÔMEDA FI AÇÕES,40.428.039/0001-29,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
BTG PACTUAL CAPITAL MARKETS FI RENDA FIXA,04.501.865/0001-92,Julio Araujo Filho,2019-02-01 00:00:00
BTG PACTUAL CDB I FIC RENDA FIXA CRÉDITO PRIVADO,16.565.016/0001-81,Albano Franco,2019-02-01 00:00:00
BTG PACTUAL DISCOVERY FI MULTIMERCADO,01.214.092/0001-75,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
BTG PACTUAL DIVIDENDOS FIC AÇÕES,09.290.813/0001-38,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
BTG PACTUAL DÓLAR FI CAMBIAL,01.430.938/0001-04,José Lúcio Nascimento,2019-01-31 00:00:00
BTG PACTUAL EXPLORER FI MULTIMERCADO,11.952.873/0001-10,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
BTG PACTUAL HEDGE FI MULTIMERCADO,00.888.897/0001-31,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
BTG PACTUAL MULTI AÇÕES FI AÇÕES,08.623.557/0001-90,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
